SpeciesName,Ecology,Odor and Taste
C. aurantiocinnabarina,saprobic,Not distinctive.
C. corniculata,Saprobic,Odor mealy; taste mealy or bitter.
C. fusiformis,saprobic,Odor not distinctive; taste bitter.
C. laeticolor,saprobic,Not distinctive.
Clavulinopsis aurantiocinnabarina,saprobic,Not distinctive.
Clavulinopsis corniculata,Saprobic,Odor mealy; taste mealy or bitter.
Clavulinopsis fusiformis,saprobic,Odor not distinctive; taste bitter.
Clavulinopsis laeticolor,saprobic,Not distinctive.
Clavulinopsis aurantiocinnabarina,saprobic,Not distinctive.
Clavulinopsis corniculata,Saprobic,Odor mealy; taste mealy or bitter.
Clavulinopsis fusiformis,saprobic,Odor not distinctive; taste bitter.
Clavulinopsis laeticolor,saprobic,Not distinctive.
Clavulinopsis aurantiocinnabarina,saprobic,Not distinctive.
Clavulinopsis corniculata,Saprobic,Odor mealy; taste mealy or bitter.
Clavulinopsis fusiformis,saprobic,Odor not distinctive; taste bitter.
Clavulinopsis laeticolor,saprobic,Not distinctive.
